address_point_id,address_full,osm_node_id,changeset_id
869631,4 South Kingsway,13823539009,182585291
869813,5 Southport St,13823539010,182585291
876998,82 The Queensway,13823539011,182585291
2675574,121 The Queensway,13823539012,182585291
6294616,12 Windermere Ave,13823539013,182585291
6294617,16 Windermere Ave,13823539014,182585291
6294618,18 Windermere Ave,13823539015,182585291
6294619,20 Windermere Ave,13823539016,182585291
6294621,22 Windermere Ave,13823539017,182585291
6294622,24 Windermere Ave,13823539018,182585291
6294624,26 Windermere Ave,13823539019,182585291
6294625,28 Windermere Ave,13823539020,182585291
6294627,30 Windermere Ave,13823539021,182585291
6294628,32 Windermere Ave,13823539022,182585291
6294629,34 Windermere Ave,13823539023,182585291
6294630,36 Windermere Ave,13823539024,182585291
9410031,157 Riverside Dr,13823539025,182585291
9410225,171 Riverside Dr,13823539026,182585291
9410244,169 Riverside Dr,13823539027,182585291
10906259,43 Ripley Ave,13823539028,182585291
10906265,2 Ripley Ave,13823539029,182585291
10906268,22 Ripley Ave,13823539030,182585291
13973115,6 Ripley Ave,13823539031,182585291
13973116,8 Ripley Ave,13823539032,182585291
13973684,1 South Kingsway,13823539033,182585291
14198902,34 Southport St,13823539034,182585291
14204776,26A Ripley Ave,13823539035,182585291
14204777,24 Ripley Ave,13823539036,182585291
14207509,29A Ripley Ave,13823539037,182585291
14207510,4 Ripley Ave,13823539038,182585291
20033898,6 Windermere Ave,13823539039,182585291
20033918,119B The Queensway,13823539040,182585291
20033919,119A The Queensway,13823539041,182585291
20033920,117B The Queensway,13823539042,182585291
20033921,117A The Queensway,13823539043,182585291
20033922,107 The Queensway,13823539044,182585291
20033923,109 The Queensway,13823539045,182585291
20033924,115 The Queensway,13823539046,182585291
20033925,113 The Queensway,13823539047,182585291
20033926,111 The Queensway,13823539048,182585291
20033927,101 The Queensway,13823539049,182585291
20033928,99 The Queensway,13823539050,182585291
20033929,97 The Queensway,13823539051,182585291
20033930,8 Windermere Ave,13823539052,182585291
20170121,24 South Kingsway,13823539053,182585291
30097336,103R The Queensway,13823539054,182585291
30098132,30 Swansea Mews,13823539055,182585291
30098133,34 Swansea Mews,13823539056,182585291
30098134,36 Swansea Mews,13823539057,182585291
30098136,40 Swansea Mews,13823539058,182585291
30098137,38 Swansea Mews,13823539059,182585291
30098138,42 Swansea Mews,13823539060,182585291
30098139,28 Swansea Mews,13823539061,182585291
30098140,24 Swansea Mews,13823539062,182585291
30098141,26 Swansea Mews,13823539063,182585291
30098142,22 Swansea Mews,13823539064,182585291
30098143,16 Swansea Mews,13823539065,182585291
30098144,20 Swansea Mews,13823539066,182585291
30098145,18 Swansea Mews,13823539067,182585291
30098223,32 Swansea Mews,13823539068,182585291
30098229,8 Swansea Mews,13823539069,182585291
30098230,4 Swansea Mews,13823539070,182585291
30098231,6 Swansea Mews,13823539071,182585291
30098232,2 Swansea Mews,13823539072,182585291
30098234,12 Swansea Mews,13823539073,182585291
30098236,14 Swansea Mews,13823539074,182585291
30098237,10 Swansea Mews,13823539075,182585291
30098297,76 Swansea Mews,13823539076,182585291
30098301,74 Swansea Mews,13823539077,182585291
30098304,72 Swansea Mews,13823539078,182585291
30098309,70 Swansea Mews,13823539079,182585291
30098315,78 Swansea Mews,13823539080,182585291
30098316,94 Swansea Mews,13823539081,182585291
30098319,86 Swansea Mews,13823539082,182585291
30098320,90 Swansea Mews,13823539083,182585291
30098321,88 Swansea Mews,13823539084,182585291
30098322,92 Swansea Mews,13823539085,182585291
30098323,82 Swansea Mews,13823539086,182585291
30098324,80 Swansea Mews,13823539087,182585291
30098325,84 Swansea Mews,13823539088,182585291
30098361,154 Swansea Mews,13823539089,182585291
30098362,136 Swansea Mews,13823539090,182585291
30098363,152 Swansea Mews,13823539091,182585291
30098364,150 Swansea Mews,13823539092,182585291
30098365,138 Swansea Mews,13823539093,182585291
30098366,140 Swansea Mews,13823539094,182585291
30098367,142 Swansea Mews,13823539095,182585291
30098368,148 Swansea Mews,13823539096,182585291
30098369,144 Swansea Mews,13823539097,182585291
30098370,146 Swansea Mews,13823539098,182585291
30098371,96 Swansea Mews,13823539099,182585291
30098373,98 Swansea Mews,13823539100,182585291
30098374,112 Swansea Mews,13823545701,182585291
30098375,110 Swansea Mews,13823545702,182585291
30098376,100 Swansea Mews,13823545703,182585291
30098377,102 Swansea Mews,13823545704,182585291
30098378,108 Swansea Mews,13823545705,182585291
30098379,106 Swansea Mews,13823545706,182585291
30098380,104 Swansea Mews,13823545707,182585291
30098382,134 Swansea Mews,13823545708,182585291
30098383,132 Swansea Mews,13823545709,182585291
30108970,95 Swansea Mews,13823545710,182585291
30108971,113 Swansea Mews,13823545711,182585291
30108972,111 Swansea Mews,13823545712,182585291
30108973,109 Swansea Mews,13823545713,182585291
30108974,107 Swansea Mews,13823545714,182585291
30108975,105 Swansea Mews,13823545715,182585291
30108976,103 Swansea Mews,13823545716,182585291
30108977,101 Swansea Mews,13823545717,182585291
30108978,97 Swansea Mews,13823545718,182585291
30108980,99 Swansea Mews,13823545719,182585291
30108981,1 Swansea Mews,13823545720,182585291
30108982,13 Swansea Mews,13823545721,182585291
30108983,11 Swansea Mews,13823545722,182585291
30108984,3 Swansea Mews,13823545723,182585291
30108985,5 Swansea Mews,13823545724,182585291
30108986,7 Swansea Mews,13823545725,182585291
30108987,9 Swansea Mews,13823545726,182585291
30109230,131 Swansea Mews,13823545727,182585291
30109231,133 Swansea Mews,13823545728,182585291
30109400,93 Swansea Mews,13823545729,182585291
30109401,91 Swansea Mews,13823545730,182585291
30109402,89 Swansea Mews,13823545731,182585291
30109403,87 Swansea Mews,13823545732,182585291
30109404,85 Swansea Mews,13823545733,182585291
30109405,83 Swansea Mews,13823545734,182585291
30109406,81 Swansea Mews,13823545735,182585291
30109407,79 Swansea Mews,13823545736,182585291
30109408,77 Swansea Mews,13823545737,182585291
30109410,75 Swansea Mews,13823545738,182585291
30109411,73 Swansea Mews,13823545739,182585291
30109507,135 Swansea Mews,13823545740,182585291
30109508,137 Swansea Mews,13823545741,182585291
30109509,153 Swansea Mews,13823545742,182585291
30109510,151 Swansea Mews,13823545743,182585291
30109511,149 Swansea Mews,13823545744,182585291
30109512,147 Swansea Mews,13823545745,182585291
30109513,145 Swansea Mews,13823545746,182585291
30109514,139 Swansea Mews,13823545747,182585291
30109515,141 Swansea Mews,13823545748,182585291
30109516,143 Swansea Mews,13823545749,182585291
30109517,27 Swansea Mews,13823545750,182585291
30109518,25 Swansea Mews,13823545751,182585291
30109519,23 Swansea Mews,13823545752,182585291
30109521,15 Swansea Mews,13823545753,182585291
30109522,17 Swansea Mews,13823545754,182585291
30109523,21 Swansea Mews,13823545755,182585291
30109524,19 Swansea Mews,13823545756,182585291
30109537,29 Swansea Mews,13823545757,182585291
30109538,31 Swansea Mews,13823545758,182585291
30109540,33 Swansea Mews,13823545759,182585291
30109542,41 Swansea Mews,13823545760,182585291
30109543,39 Swansea Mews,13823545761,182585291
30109544,35 Swansea Mews,13823545762,182585291
30109545,37 Swansea Mews,13823545763,182585291
30112875,2030 Lake Shore Blvd W,13823545764,182585291
30132697,32 Southport St,13823545765,182585291
30132698,36 Southport St,13823545766,182585291
30132700,54 Southport St,13823545767,182585291
30132701,26 Southport St,13823545768,182585291
30132702,30 Southport St,13823545769,182585291
30132703,40A Southport St,13823545770,182585291
30132704,40B Southport St,13823545771,182585291
30132705,42A Southport St,13823545772,182585291
30132706,42B Southport St,13823545773,182585291
30132707,44A Southport St,13823545774,182585291
30132708,44B Southport St,13823545775,182585291
30132709,46A Southport St,13823545776,182585291
30132710,46B Southport St,13823545777,182585291
30132711,48A Southport St,13823545778,182585291
30132712,48B Southport St,13823545779,182585291
30132713,50A Southport St,13823545780,182585291
30132714,50B Southport St,13823545781,182585291
30132715,52A Southport St,13823545782,182585291
30132716,52B Southport St,13823545783,182585291
30142178,1990 Lake Shore Blvd W,13823545784,182585291
